"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "JSON", "Markdown", "XML", "HTML", "comment", "blank", "total"
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/README.md", "Markdown", 0, 0, 0, 0, 7, 0, 0, 0, 6, 13
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/eslint.config.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/index.html", "HTML", 0, 0, 0, 0, 0, 0, 12, 0, 3, 15
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/package-lock.json", "JSON", 0, 0, 0, 4474, 0, 0, 0, 0, 1, 4475
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/package.json", "JSON", 0, 0, 0, 37, 0, 0, 0, 0, 1, 38
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/public/vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/App.jsx", "JavaScript JSX", 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/Components1/FirstPage.jsx", "JavaScript JSX", 28, 0, 0, 0, 0, 0, 0, 2, 5, 35
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/Components1/IndiLogin.jsx", "JavaScript JSX", 184, 0, 0, 0, 0, 0, 0, 4, 15, 203
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/Components1/IndiRegister.jsx", "JavaScript JSX", 298, 0, 0, 0, 0, 0, 0, 6, 19, 323
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/Components1/OrgLogin.jsx", "JavaScript JSX", 197, 0, 0, 0, 0, 0, 0, 0, 20, 217
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/Components1/OrgRegister.jsx", "JavaScript JSX", 256, 0, 0, 0, 0, 0, 0, 4, 16, 276
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/Components1/PopupNotification.jsx", "JavaScript JSX", 28, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/Components1/StartPage.jsx", "JavaScript JSX", 106, 0, 0, 0, 0, 0, 0, 0, 7, 113
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/Components2/AdminHomePage.jsx", "JavaScript JSX", 96, 0, 0, 0, 0, 0, 0, 0, 13, 109
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/Components2/EmployeeHomePage.jsx", "JavaScript JSX", 127, 0, 0, 0, 0, 0, 0, 2, 13, 142
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/Components2/ManagerHomePage.jsx", "JavaScript JSX", 209, 0, 0, 0, 0, 0, 0, 0, 20, 229
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/ReduxStore/Admin.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 2, 4, 40
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/ReduxStore/Employee.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/ReduxStore/Manager.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 1, 4, 35
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/ReduxStore/index.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/ReduxStore/isAuthorized.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/index.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/src/main.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/ayushgautam647gmail.com/Production Level Projects/Multi-Tenant Task Management Platform/Frontend/vite.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 3, 10
"Total", "-", 1574, 160, 1, 4511, 7, 2, 12, 22, 177, 6466